"","V1"
"GeorgeWashington-1_2",4
"GeorgeWashington-1_3",4
"GeorgeWashington-1_4",4
"GeorgeWashington-1_5",4
"GeorgeWashington-1_6",4
"GeorgeWashington-1_7",4
"GeorgeWashington-1_8",4
"GeorgeWashington-1_9",4
"GeorgeWashington-1_10",4
"GeorgeWashington-1_11",4
"GeorgeWashington-1_12",7
"GeorgeWashington-1_13",7
"GeorgeWashington-1_14",7
"GeorgeWashington-1_15",8
"GeorgeWashington-1_16",4
"GeorgeWashington-1_17",8
"GeorgeWashington-1_18",4
"GeorgeWashington-1_19",5
"GeorgeWashington-1_20",14
"GeorgeWashington-1_21",10
"GeorgeWashington-1_22",10
"GeorgeWashington-1_23",10
"GeorgeWashington-1_24",7
"GeorgeWashington-1_25",10
"GeorgeWashington-1_26",5
"GeorgeWashington-1_27",5
"GeorgeWashington-1_28",5
"GeorgeWashington-1_29",5
"GeorgeWashington-1_30",4
"GeorgeWashington-2_2",5
"GeorgeWashington-2_3",5
"JohnAdams-1_2",4
"JohnAdams-1_3",4
"JohnAdams-1_4",4
"JohnAdams-1_5",7
"JohnAdams-1_6",11
"JohnAdams-1_7",11
"JohnAdams-1_8",10
"JohnAdams-1_9",10
"JohnAdams-1_10",4
"JohnAdams-1_11",4
"JohnAdams-1_12",4
"JohnAdams-1_13",7
"JohnAdams-1_14",7
"JohnAdams-1_15",7
"JohnAdams-1_16",7
"JohnAdams-1_17",15
"JohnAdams-1_18",7
"JohnAdams-1_19",2
"JohnAdams-1_20",2
"JohnAdams-1_21",2
"JohnAdams-1_22",2
"JohnAdams-1_23",10
"JohnAdams-1_24",10
"JohnAdams-1_25",2
"JohnAdams-1_26",2
"JohnAdams-1_27",15
"JohnAdams-1_28",15
"JohnAdams-1_29",15
"JohnAdams-1_30",15
"JohnAdams-1_31",4
"JohnAdams-1_32",4
"JohnAdams-1_33",4
"JohnAdams-1_34",4
"JohnAdams-1_35",7
"JohnAdams-1_36",7
"JohnAdams-1_37",7
"JohnAdams-1_38",10
"JohnAdams-1_39",10
"JohnAdams-1_40",15
