"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","public","can","will","countri","shall","peopl","law","one","world","govern","war","mean","time","america","nation"
"2","govern","never","must","present","duti","free","upon","citizen","new","power","great","industri","year","american","peac"
"3","may","spirit","everi","great","may","men","congress","polit","nation","state","state","great","day","freedom","right"
"4","revenu","peopl","now","everi","peopl","human","execut","parti","work","union","unit","use","first","hope","interest"
"5","interest","thing","make","patriot","offic","liberti","constitut","countri","peac","constitut","forc","progress","presid","know","polici"
"6","secur","long","good","success","purpo","life","effect","may","way","right","made","product","histori","generat","equal"
"7","without","even","peopl","happi","servic","upon","subject","person","live","preserv","territori","prosper","today","let","foreign"
"8","necessari","mind","futur","caus","support","freedom","legisl","well","let","author","extend","condit","now","earth","among"
"9","demand","fear","need","result","confid","order","elect","anoth","seek","general","defen","econom","stand","heart","independ"
"10","system","true","continu","mani","best","republ","administr","communiti","land","form","arm","need","god","faith","relat"
"11","practic","noth","act","experi","faith","common","control","without","help","feder","greater","trade","still","call","just"
"12","tax","beyond","bring","fellowcitizen","upon","believ","consid","feel","make","unit","whole","resourc","centuri","togeth","principl"
"13","protect","far","lead","look","trust","full","import","question","old","limit","danger","busi","place","see","justic"
"14","larg","yet","past","import","respon","chang","enforc","mere","strong","object","establish","encourag","last","man","everi"
"15","expenditur","done","requir","bless","high","civil","question","race","better","institut","might","countri","hand","ideal","cour"
"16","far","constant","secur","whose","oblig","democraci","part","member","american","concern","part","protect","ask","promi","friend"
"17","money","less","effort","much","honor","moral","depart","section","strength","exerci","maintain","increa","moment","end","well"
"18","burden","bodi","greatest","enjoy","call","hold","opinion","differ","opportun","whole","popul","labor","come","speak","intern"
"19","provid","life","sacrif","hope","give","problem","given","accept","home","domest","commerc","enterpri","fellow","voic","desir"
"20","possibl","remain","alway","affect","perform","love","made","good","respon","protect","treati","improv","mani","courag","honor"
